[repro] started_at=2026-09-11T17:58:42+08:00
[repro] run_id=20260911_175842_mooc_pid733399
[repro] repo_commit=28ca94a06771c46073b650de3daa95e0939342ba
[repro] tracked_patch_sha256=9c5c573c67cf67dc7b1588abbd796fcb30acf6e937c3b9a8782fcb9438909540
[repro] patch_stat= model/utils.py                       |  99 +++++++++++++
[repro] patch_stat= scalable_tgn_link_prediction.py      | 274 ++++++++++++++++++++++++++++++++---
[repro] patch_stat= scalable_tgn_main_link_prediction.py |  64 +++++++-
[repro] patch_stat= 3 files changed, 410 insertions(+), 27 deletions(-)
[repro] dataset=mooc gpu=0 env=scadyg
[repro] eval_manifest=/home/lab_user/project/lzc/results/scadyg/protocols/mooc_full_item_v1.npz
[repro] eval_manifest_sha256=f314bf0ef2afecc8c127d89f32620f47075f438ebe21ee960b146d69cafe8da1
[repro] checkpoint_dir=/home/lab_user/project/lzc/results/scadyg/checkpoints/20260911_175842_mooc_pid733399
[repro] command=python scalable_tgn_main_link_prediction.py --dataset mooc --cuda_device 0 --eval_manifest /home/lab_user/project/lzc/results/scadyg/protocols/mooc_full_item_v1.npz --checkpoint_dir /home/lab_user/project/lzc/results/scadyg/checkpoints/20260911_175842_mooc_pid733399 --repo_commit 28ca94a06771c46073b650de3daa95e0939342ba --seed 0 --selection_metric filtered_mrr --eval_protocol both
[repro] torch=2.2.1+cu121 pyg=2.8.0.post1 dgl=2.2.1+cu121
[repro] cuda=True gpu_count=1
[repro] gpu_name=NVIDIA GeForce RTX 3090
[Fri Sep 11 17:58:48 2026|scalable_tgn_main_link_prediction.py|INFO] evaluation protocol:both, manifest_sha256:f314bf0ef2afecc8c127d89f32620f47075f438ebe21ee960b146d69cafe8da1, edge_index_sha256:e8b017550b97172caa9334cc6a5cba18bbd052f30ef93ecd2cdb17c4ff24e33c, valid_destination_count:97
0it [00:00, ?it/s]85it [00:00, 849.86it/s]100it [00:00, 850.30it/s]
0it [00:00, ?it/s]7it [00:00, 60.16it/s]14it [00:00, 44.03it/s]21it [00:00, 50.89it/s]27it [00:00, 43.67it/s]34it [00:00, 49.19it/s]40it [00:00, 43.48it/s]47it [00:00, 48.49it/s]53it [00:01, 43.19it/s]60it [00:01, 48.01it/s]66it [00:01, 43.43it/s]73it [00:01, 48.06it/s]79it [00:01, 42.71it/s]85it [00:01, 46.09it/s]92it [00:01, 50.41it/s]98it [00:02, 44.66it/s]100it [00:02, 46.30it/s]
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.24570, official_mrr:0.80643, filtered_mrr:0.02809, acc:0.99454, ap:0.98869, f1:0.99454, macro_auc:0.99496, micro_auc:0.99496
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:70, positives:4118, sources:324, mean_negatives:83.555, min_negatives:51, max_negatives:96
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.26294, official_mrr:0.76672, filtered_mrr:0.02729, acc:0.99344, ap:0.98833, f1:0.99344, macro_auc:0.99448, micro_auc:0.99448
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:71, positives:4118, sources:344, mean_negatives:84.298, min_negatives:43, max_negatives:96
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.33761, official_mrr:0.78037, filtered_mrr:0.02973, acc:0.98992, ap:0.98237, f1:0.98992, macro_auc:0.98992, micro_auc:0.98992
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:72, positives:4118, sources:321, mean_negatives:80.469, min_negatives:29, max_negatives:96
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.28776, official_mrr:0.76743, filtered_mrr:0.02544, acc:0.98883, ap:0.98538, f1:0.98883, macro_auc:0.99292, micro_auc:0.99292
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:73, positives:4118, sources:306, mean_negatives:81.326, min_negatives:54, max_negatives:96
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.30537, official_mrr:0.78170, filtered_mrr:0.02654, acc:0.99296, ap:0.98487, f1:0.99296, macro_auc:0.99277, micro_auc:0.99277
[Fri Sep 11 17:59:11 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:74, positives:4118, sources:307, mean_negatives:80.789, min_negatives:45, max_negatives:96
