[repro] started_at=2026-09-11T18:17:47+08:00
[repro] run_id=20260911_181747_mooc_pid742904
[repro] repo_commit=28ca94a06771c46073b650de3daa95e0939342ba
[repro] tracked_patch_sha256=9c5c573c67cf67dc7b1588abbd796fcb30acf6e937c3b9a8782fcb9438909540
[repro] patch_stat= model/utils.py                       |  99 +++++++++++++
[repro] patch_stat= scalable_tgn_link_prediction.py      | 274 ++++++++++++++++++++++++++++++++---
[repro] patch_stat= scalable_tgn_main_link_prediction.py |  64 +++++++-
[repro] patch_stat= 3 files changed, 410 insertions(+), 27 deletions(-)
[repro] dataset=mooc gpu=0 env=scadyg
[repro] eval_manifest=/home/lab_user/project/lzc/results/scadyg/protocols/mooc_full_item_v1.npz
[repro] eval_manifest_sha256=f314bf0ef2afecc8c127d89f32620f47075f438ebe21ee960b146d69cafe8da1
[repro] checkpoint_dir=/home/lab_user/project/lzc/results/scadyg/checkpoints/20260911_181747_mooc_pid742904
[repro] command=python scalable_tgn_main_link_prediction.py --dataset mooc --cuda_device 0 --eval_manifest /home/lab_user/project/lzc/results/scadyg/protocols/mooc_full_item_v1.npz --checkpoint_dir /home/lab_user/project/lzc/results/scadyg/checkpoints/20260911_181747_mooc_pid742904 --repo_commit 28ca94a06771c46073b650de3daa95e0939342ba --seed 2 --selection_metric filtered_mrr --eval_protocol both
[repro] torch=2.2.1+cu121 pyg=2.8.0.post1 dgl=2.2.1+cu121
[repro] cuda=True gpu_count=1
[repro] gpu_name=NVIDIA GeForce RTX 3090
[Fri Sep 11 18:17:53 2026|scalable_tgn_main_link_prediction.py|INFO] evaluation protocol:both, manifest_sha256:f314bf0ef2afecc8c127d89f32620f47075f438ebe21ee960b146d69cafe8da1, edge_index_sha256:e8b017550b97172caa9334cc6a5cba18bbd052f30ef93ecd2cdb17c4ff24e33c, valid_destination_count:97
0it [00:00, ?it/s]90it [00:00, 895.18it/s]100it [00:00, 895.90it/s]
0it [00:00, ?it/s]7it [00:00, 62.12it/s]14it [00:00, 44.63it/s]21it [00:00, 51.42it/s]27it [00:00, 44.00it/s]34it [00:00, 49.51it/s]40it [00:00, 43.59it/s]47it [00:00, 48.44it/s]53it [00:01, 43.23it/s]60it [00:01, 48.06it/s]66it [00:01, 43.14it/s]73it [00:01, 47.77it/s]79it [00:01, 43.13it/s]86it [00:01, 47.64it/s]93it [00:02, 43.53it/s]100it [00:02, 47.98it/s]100it [00:02, 46.53it/s]
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.52097, official_mrr:0.65905, filtered_mrr:0.01701, acc:0.99441, ap:0.98949, f1:0.99441, macro_auc:0.99469, micro_auc:0.99469
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:70, positives:4118, sources:324, mean_negatives:83.555, min_negatives:51, max_negatives:96
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.43558, official_mrr:0.63004, filtered_mrr:0.01600, acc:0.99502, ap:0.99157, f1:0.99502, macro_auc:0.99575, micro_auc:0.99575
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:71, positives:4118, sources:344, mean_negatives:84.298, min_negatives:43, max_negatives:96
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.70276, official_mrr:0.62428, filtered_mrr:0.01951, acc:0.98907, ap:0.98451, f1:0.98907, macro_auc:0.99062, micro_auc:0.99062
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:72, positives:4118, sources:321, mean_negatives:80.469, min_negatives:29, max_negatives:96
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.60232, official_mrr:0.66176, filtered_mrr:0.01660, acc:0.98956, ap:0.98823, f1:0.98956, macro_auc:0.99396, micro_auc:0.99396
[Fri Sep 11 18:18:16 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:73, positives:4118, sources:306, mean_negatives:81.326, min_negatives:54, max_negatives:96
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.42642, official_mrr:0.60744, filtered_mrr:0.01738, acc:0.99490, ap:0.99176, f1:0.99490, macro_auc:0.99584, micro_auc:0.99584
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:74, positives:4118, sources:307, mean_negatives:80.789, min_negatives:45, max_negatives:96
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.50947, official_mrr:0.63779, filtered_mrr:0.01542, acc:0.99417, ap:0.99005, f1:0.99417, macro_auc:0.99498, micro_auc:0.99498
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:75, positives:4118, sources:329, mean_negatives:84.600, min_negatives:57, max_negatives:96
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.65783, official_mrr:0.61931, filtered_mrr:0.01717, acc:0.99223, ap:0.98729, f1:0.99223, macro_auc:0.99356, micro_auc:0.99356
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:76, positives:4118, sources:359, mean_negatives:81.110, min_negatives:36, max_negatives:96
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.58101, official_mrr:0.65329, filtered_mrr:0.01608, acc:0.99369, ap:0.98872, f1:0.99369, macro_auc:0.99429, micro_auc:0.99429
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:77, positives:4118, sources:319, mean_negatives:82.029, min_negatives:53, max_negatives:96
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.61924, official_mrr:0.63859, filtered_mrr:0.01568, acc:0.99284, ap:0.98800, f1:0.99284, macro_auc:0.99393, micro_auc:0.99393
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:78, positives:4118, sources:352, mean_negatives:83.768, min_negatives:51, max_negatives:96
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.61321, official_mrr:0.62161, filtered_mrr:0.01537, acc:0.99235, ap:0.98824, f1:0.99235, macro_auc:0.99405, micro_auc:0.99405
[Fri Sep 11 18:18:17 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:79, positives:4118, sources:371, mean_negatives:84.239, min_negatives:63, max_negatives:96
