[repro] started_at=2026-09-11T18:29:50+08:00
[repro] run_id=20260911_182950_mooc_pid748580
[repro] repo_commit=28ca94a06771c46073b650de3daa95e0939342ba
[repro] tracked_patch_sha256=9c5c573c67cf67dc7b1588abbd796fcb30acf6e937c3b9a8782fcb9438909540
[repro] patch_stat= model/utils.py                       |  99 +++++++++++++
[repro] patch_stat= scalable_tgn_link_prediction.py      | 274 ++++++++++++++++++++++++++++++++---
[repro] patch_stat= scalable_tgn_main_link_prediction.py |  64 +++++++-
[repro] patch_stat= 3 files changed, 410 insertions(+), 27 deletions(-)
[repro] dataset=mooc gpu=0 env=scadyg
[repro] eval_manifest=/home/lab_user/project/lzc/results/scadyg/protocols/mooc_full_item_v1.npz
[repro] eval_manifest_sha256=f314bf0ef2afecc8c127d89f32620f47075f438ebe21ee960b146d69cafe8da1
[repro] checkpoint_dir=/home/lab_user/project/lzc/results/scadyg/checkpoints/20260911_182950_mooc_pid748580
[repro] command=python scalable_tgn_main_link_prediction.py --dataset mooc --cuda_device 0 --eval_manifest /home/lab_user/project/lzc/results/scadyg/protocols/mooc_full_item_v1.npz --checkpoint_dir /home/lab_user/project/lzc/results/scadyg/checkpoints/20260911_182950_mooc_pid748580 --repo_commit 28ca94a06771c46073b650de3daa95e0939342ba --seed 4 --selection_metric filtered_mrr --eval_protocol both
[repro] torch=2.2.1+cu121 pyg=2.8.0.post1 dgl=2.2.1+cu121
[repro] cuda=True gpu_count=1
[repro] gpu_name=NVIDIA GeForce RTX 3090
[Fri Sep 11 18:29:56 2026|scalable_tgn_main_link_prediction.py|INFO] evaluation protocol:both, manifest_sha256:f314bf0ef2afecc8c127d89f32620f47075f438ebe21ee960b146d69cafe8da1, edge_index_sha256:e8b017550b97172caa9334cc6a5cba18bbd052f30ef93ecd2cdb17c4ff24e33c, valid_destination_count:97
0it [00:00, ?it/s]90it [00:00, 899.09it/s]100it [00:00, 895.42it/s]
0it [00:00, ?it/s]7it [00:00, 61.66it/s]14it [00:00, 44.67it/s]21it [00:00, 51.53it/s]27it [00:00, 43.92it/s]34it [00:00, 49.42it/s]40it [00:00, 43.66it/s]47it [00:00, 48.72it/s]53it [00:01, 43.37it/s]60it [00:01, 47.96it/s]66it [00:01, 43.12it/s]73it [00:01, 47.90it/s]79it [00:01, 43.19it/s]86it [00:01, 47.95it/s]93it [00:02, 44.01it/s]100it [00:02, 48.42it/s]100it [00:02, 46.70it/s]
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.62927, official_mrr:0.64933, filtered_mrr:0.01750, acc:0.99114, ap:0.98732, f1:0.99114, macro_auc:0.99357, micro_auc:0.99357
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:70, positives:4118, sources:324, mean_negatives:83.555, min_negatives:51, max_negatives:96
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.43046, official_mrr:0.63813, filtered_mrr:0.01700, acc:0.99381, ap:0.99168, f1:0.99381, macro_auc:0.99580, micro_auc:0.99580
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:71, positives:4118, sources:344, mean_negatives:84.298, min_negatives:43, max_negatives:96
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.62534, official_mrr:0.63339, filtered_mrr:0.02038, acc:0.98895, ap:0.98575, f1:0.98895, macro_auc:0.99108, micro_auc:0.99108
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:72, positives:4118, sources:321, mean_negatives:80.469, min_negatives:29, max_negatives:96
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] meta val epoch:0, loss:0.48135, official_mrr:0.64423, filtered_mrr:0.01676, acc:0.98932, ap:0.99067, f1:0.98932, macro_auc:0.99526, micro_auc:0.99526
[Fri Sep 11 18:30:19 2026|scalable_tgn_link_prediction.py|INFO] filtered val epoch:0, snapshot:73, positives:4118, sources:306, mean_negatives:81.326, min_negatives:54, max_negatives:96
